municipality,turnover_sum,turnover_mean,turnover_median,turnover_min,turnover_max,taxpayers_sum,taxpayers_mean,row_count
PRISHTINË,51454186316.62,693985.7615232726,38485.0,-289311.34,120330115.96,1080273.0,14.570127995899815,74143
GRAÇANICË,12001136718.54,650115.7485666306,31686.6,-63770.36,61298608.36,48159.0,2.608829902491874,18460
FERIZAJ,8042949524.07,192839.4918018126,20777.86,-49039.02,36022200.7,282598.0,6.775630574470125,41708
PRIZREN,7059288896.19,162514.1326992495,20274.5,-40334.3,71724811.89,320524.0,7.3788848473686635,43438
PEJË,5792950085.84,166339.80605984034,13312.779999999999,-7254.44,46159993.18,192336.0,5.522770343995865,34826
FUSHË KOSOVË,5278569275.57,186627.39625123743,15429.44,-27550.0,43918597.88,120143.0,4.247737236600198,28284
GJILAN,3601667635.47,110680.9143993731,10873.8,-104969.75,10652177.36,183580.0,5.6414984173811495,32541
GJAKOVË,3176622635.57,97562.12025706389,11345.16,-21691.74,17770620.27,170014.0,5.221560196560197,32560
SUHAREKË,2539412433.66,111236.25360988216,11639.08,-29661.02,9237960.39,97138.0,4.255026501379824,22829
MITROVICË,2382557743.41,88027.70056195965,11854.215,-11829.7,10455033.75,118783.0,4.388642577403385,27066
LIPJAN,2329716562.0,110308.5493371212,8936.605,-17995.97,12007570.98,82522.0,3.9072916666666666,21120
VITI,2136917675.7,124863.71834170855,7314.9,0.0,19300474.36,56839.0,3.3211990183475515,17114
VUSHTRRI,2124204633.74,99671.76397053304,9597.075,-2850000.0,16249736.45,81829.0,3.839573948948949,21312
PODUJEVË,1833552505.22,81159.37080470963,10975.724999999999,-142449.42,7586290.8,97306.0,4.30709985835694,22592
GLLOGOC,1688285402.54,88294.827809215,11102.0,-33358.09,21525712.03,69846.0,3.652842424559385,19121
OBILIQ,1525156981.09,111790.44059884189,9067.88,-29603.61,9387696.71,29883.0,2.1903540277065163,13643
RAHOVEC,1409587214.34,71917.71501734693,9460.395,-18007.97,7724358.77,72268.0,3.6871428571428573,19600
MALISHEVË,1279307823.19,79381.22506763466,9349.29,-4400.0,8120683.8,56269.0,3.491499131298089,16116
ISTOG,1109611040.9,67094.63302092152,5922.610000000001,-23950.0,12684841.42,51050.0,3.0868303301487483,16538
SKENDERAJ,1053053167.43,78474.78705045085,7544.73,0.0,9117624.89,43067.0,3.209404575601759,13419
KLINË,1028749335.54,65421.26140158982,6088.75,0.0,4520040.33,46334.0,2.946518282988871,15725
SHTIME,831101677.05,66680.17306241977,6423.995000000001,-118660.12,4448413.46,31603.0,2.5355423620025674,12464
DEÇAN,761080838.06,54927.88958285219,5563.84,0.0,4302720.9,34439.0,2.485493648960739,13856
HANI I ELEZIT,752269030.8,131217.34358974357,6039.95,0.0,11935258.24,12594.0,2.1967556253270537,5733
KAÇANIK,599715510.95,46841.79574709053,5036.38,0.0,3382100.77,36987.0,2.8889322814965244,12803
KAMENICË,349365280.6,29196.496790907575,5349.66,0.0,3708687.81,37519.0,3.1354671569446766,11966
DRAGASH,246527794.96,31581.83384063541,5422.865,0.0,4144144.06,24396.0,3.1252882398155264,7806
MITROVICË VERIORE,132904327.72,24042.027445730826,2088.85,-338.81,3338038.06,8558.0,1.5481186685962374,5528
MAMUSHË,98758946.93,27772.48226377953,6025.0,0.0,800188.73,8177.0,2.2994938132733407,3556
KLLOKOT,94456420.08,36639.41818463925,5142.635,0.0,2520490.72,3564.0,1.382467028704422,2578
ZVEÇAN,79276478.75,26346.45355599867,1530.0,0.0,950524.9,4313.0,1.4333665669657694,3009
SHTËRPCË,67757940.33,14447.322031982942,1551.0,0.0,14340677.94,10658.0,2.272494669509595,4690
LEPOSAVIQ,53982299.29,11288.644769970724,1861.1100000000001,0.0,1703050.71,7368.0,1.5407779171894604,4782
ZUBIN POTOK,39244166.46,16850.221751824818,900.0,0.0,592831.18,2996.0,1.2863890081580078,2329
JUNIK,38943812.42,16411.214673409188,2466.95,0.0,2161685.25,3358.0,1.415086388537716,2373
NOVOBËRDË,27057096.31,10466.961822050289,2007.63,0.0,886567.26,4203.0,1.6259187620889748,2585
PARTESH,22207749.33,10549.999681710213,1452.0,0.0,254047.06,3617.0,1.718289786223278,2105
RANILLUG,4836809.87,8129.092218487395,415.0,0.0,143444.34,863.0,1.4504201680672268,595
