primary_sector,turnover_sum,turnover_mean,turnover_median,turnover_min,turnover_max,taxpayers_sum,taxpayers_mean,row_count
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,58454594520.41,313981.6649142191,26753.254999999997,-2850000.0,104140095.36,1177615.0,6.325414133167179,186172
Industria perpunuese,15883838199.75,112412.95550393139,12618.15,-110660.23,21698104.41,424176.0,3.0019745362670647,141299
Ndertimtaria,11493086507.21,230211.65185501962,12125.635,-45936.0,89226446.81,358812.0,7.187164490024838,49924
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",8652030263.83,2006035.3034616276,509.58,0.0,80269083.62,15331.0,3.554602364943195,4313
Aktivitetet financiare dhe te sigurimit,4600848077.35,451550.5032240652,3228.04,-289311.34,33006432.76,24524.0,2.4069094121111,10189
Informimi dhe komunikimi,3904720459.38,138987.7005545668,5650.0,-25382.72,31717661.73,147013.0,5.232896703922545,28094
Transporti dhe magazinimi,3494422093.16,142629.47319020407,13220.605,0.0,20230984.52,134267.0,5.480285714285714,24500
"Aktivitetet profesionale, shkencore dhe teknike",2735173338.42,78074.19685496532,6431.0,-27550.0,21782809.34,266460.0,7.605971512573859,35033
Sherbimet administrative dhe mbeshtetese,2712725353.35,103752.977639027,4764.625,-23678.24,23069772.42,108852.0,4.1632372064560546,26146
Akomodimi dhe sherbimi ushqimor,2205758181.78,91692.64141087464,13477.09,0.0,14951426.66,264329.0,10.988069504489525,24056
Person Fizik,1993334065.7,772909.6803799922,94099.07,0.0,71724811.89,91126.0,35.33385032958511,2579
Aktivitetet e tjera sherbyese,1283137942.74,68002.4348264349,3770.51,-666.86,120330115.96,167544.0,8.879325878424929,18869
Industria nxjerrese,1238496345.66,157069.92335573875,7740.0,-21691.74,21525712.03,20062.0,2.5443246670894104,7885
Aktivitetet e shendetit te njeriut dhe te punes sociale,1017263567.17,62054.75307570304,10930.0,-63770.36,4677516.9,88886.0,5.4221923991947785,16393
Bujqesia;Pylltaria dhe Peshkimi,857006219.68,29420.055601785098,1828.365,-48268.1,6520645.87,95453.0,3.276793683487813,29130
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,800177321.57,94083.16538154028,5126.94,0.0,6360668.34,14497.0,1.7045267489711935,8505
Arsimi,590379228.54,56436.21341554345,5860.0,-11810.0,7607074.88,35875.0,3.429404454641048,10461
Aktivitetet e patundshmerise,452335761.75,71822.12793744045,2627.12,-49039.02,8296306.73,32472.0,5.1559225150841534,6298
"Artet, Argetimi dhe rekreacioni",341192105.26,26089.01248356018,1715.55,0.0,11552222.32,45240.0,3.459244532803181,13078
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,206714962.25,41600.918142483395,4800.0,-3367.05,1660698.79,12097.0,2.4344938619440533,4969
Mungon aktiviteti,123908929.66,42801.01197236615,0.0,0.0,5550427.35,11218.0,3.874956822107081,2895
Aktivitetet e trupave dhe organizatave nderkombetare,4358782.4399999995,145292.748,0.0,0.0,1157823.69,30.0,1.0,30
"Aktivitetet e ekonomive familjare si punedhenes; Mallrat dhe sherbimet e padiferencuara, Aktivitetet e ekonomive familjare per perdorim vetanak",1467559.48,15447.99452631579,0.0,0.0,1249317.0,95.0,1.0,95
