class_label,count,dataset,share_decimal,share_percent
SH.P.K.,321710,before,0.49424424,49.4244%
INDIVIDUAL,270904,before,0.4161908,41.6191%
ORTAKËRIA E PËRGJ.,17491,before,0.02687149,2.6871%
SHOQËRI AKCIONARE,11642,before,0.01788565,1.7886%
KOMPANI E HUAJ,11218,before,0.01723425,1.7234%
NDËRMARRJE SHOQ.,4871,before,0.00748333,0.7483%
OJQ,3729,before,0.00572888,0.5729%
PERSON FIZIK,2579,before,0.00396213,0.3962%
KONSORCIUM,984,before,0.00151172,0.1512%
TJETER,826,before,0.00126899,0.1269%
KOOPERATIVA BUJQ.,782,before,0.00120139,0.1201%
NDËRMARRJE NËN MENAXHIM TË AKP-SË,711,before,0.00109231,0.1092%
PËRFAQËSUES FISKAL,697,before,0.0010708,0.1071%
NDËRMARRJE PUB.,654,before,0.00100474,0.1005%
PROJEKT,497,before,0.00076354,0.0764%
DEGA E SHOQËRISË SË HUAJ,276,before,0.00042402,0.0424%
KOOPERATIVA,260,before,0.00039944,0.0399%
ORGANIZATA BUXHETORE,222,before,0.00034106,0.0341%
SHOQËRI KOMANDITE,157,before,0.0002412,0.0241%
ORTAKËRI E KUFIZUAR,148,before,0.00022737,0.0227%
BASHKËSI FETARE,107,before,0.00016438,0.0164%
KOMP .PUB. E KUF.,84,before,0.00012905,0.0129%
KOMPANI SIGURIMI,84,before,0.00012905,0.0129%
AGJENSION I HUAJ QEVERITAR,83,before,0.00012751,0.0128%
ZYRË NDËRLIDHËSE,83,before,0.00012751,0.0128%
ZYRA E PËRFAQËSISË NË KOSOVË,74,before,0.00011369,0.0114%
SHOQATË,16,before,2.458e-05,0.0025%
PARTI POLITIKE,11,before,1.69e-05,0.0017%
SINDIKATAT,10,before,1.536e-05,0.0015%
AMBASADA,3,before,4.61e-06,0.0005%
SH.P.K.,321710,after,0.03333333,3.3333%
INDIVIDUAL,321710,after,0.03333333,3.3333%
SINDIKATAT,321710,after,0.03333333,3.3333%
SHOQATË,321710,after,0.03333333,3.3333%
PARTI POLITIKE,321710,after,0.03333333,3.3333%
BASHKËSI FETARE,321710,after,0.03333333,3.3333%
ZYRË NDËRLIDHËSE,321710,after,0.03333333,3.3333%
TJETER,321710,after,0.03333333,3.3333%
ZYRA E PËRFAQËSISË NË KOSOVË,321710,after,0.03333333,3.3333%
KOMPANI SIGURIMI,321710,after,0.03333333,3.3333%
OJQ,321710,after,0.03333333,3.3333%
ORGANIZATA BUXHETORE,321710,after,0.03333333,3.3333%
KOMP .PUB. E KUF.,321710,after,0.03333333,3.3333%
PROJEKT,321710,after,0.03333333,3.3333%
PËRFAQËSUES FISKAL,321710,after,0.03333333,3.3333%
SHOQËRI KOMANDITE,321710,after,0.03333333,3.3333%
ORTAKËRI E KUFIZUAR,321710,after,0.03333333,3.3333%
KOOPERATIVA,321710,after,0.03333333,3.3333%
PERSON FIZIK,321710,after,0.03333333,3.3333%
DEGA E SHOQËRISË SË HUAJ,321710,after,0.03333333,3.3333%
NDËRMARRJE NËN MENAXHIM TË AKP-SË,321710,after,0.03333333,3.3333%
KONSORCIUM,321710,after,0.03333333,3.3333%
NDËRMARRJE PUB.,321710,after,0.03333333,3.3333%
KOMPANI E HUAJ,321710,after,0.03333333,3.3333%
ORTAKËRIA E PËRGJ.,321710,after,0.03333333,3.3333%
AGJENSION I HUAJ QEVERITAR,321710,after,0.03333333,3.3333%
SHOQËRI AKCIONARE,321710,after,0.03333333,3.3333%
KOOPERATIVA BUJQ.,321710,after,0.03333333,3.3333%
NDËRMARRJE SHOQ.,321710,after,0.03333333,3.3333%
AMBASADA,321710,after,0.03333333,3.3333%
