month,turnover_sum,turnover_mean,turnover_median,turnover_min,turnover_max,taxpayers_sum,taxpayers_mean,row_count
12.0,16314455089.94,222316.2418230132,10889.92,-2850000.0,120330115.96,546912.0,7.452741742069116,73384
8.0,11409423379.58,244554.02279718782,16949.175,-110660.23,77008649.46,191624.0,4.107343421785913,46654
7.0,11045377040.98,236903.24813357927,16779.59,-43255.27,49550653.56,190756.0,4.09136925188744,46624
10.0,10517094036.42,223744.1556519519,16485.0,-40334.3,48221667.36,193558.0,4.117817253483672,47005
9.0,10496461860.79,149146.19635378037,7630.0,-289311.34,104140095.36,495740.0,7.044062690935959,70377
11.0,10275501622.18,218195.94466651094,15881.2,-104969.75,61925060.51,193863.0,4.116599069925466,47093
6.0,9972740864.62,143414.26075843425,6962.66,-29661.02,43151055.87,492659.0,7.084745031493572,69538
3.0,9464007745.92,138041.7997041964,6101.69,-36704.37,62496297.13,488486.0,7.125045581178255,68559
5.0,9277942404.67,201261.25088765484,14194.7,-142449.42,44707622.85,188167.0,4.081802208290853,46099
4.0,8825416136.4,194170.02852239725,13047.77,-57628.53,58051049.3,186354.0,4.100017600985655,45452
1.0,7736394985.08,172822.40556416844,10290.45,-45191.96,80269083.62,183128.0,4.090874567184184,44765
2.0,7712154619.96,170009.8013790975,11381.16,-39366.34,58547602.96,184727.0,4.072195401538699,45363
