registration_status,turnover_sum,turnover_mean,turnover_median,turnover_min,turnover_max,taxpayers_sum,taxpayers_mean,row_count
SH.P.K.,89731804413.1,278921.40254608187,19474.545,-2850000.0,104140095.36,1775124.0,5.517776879798577,321710
INDIVIDUAL,13360074302.06,49316.637266559366,7114.455,-40334.3,14340677.94,1565522.0,5.778881079644449,270904
SHOQËRI AKCIONARE,12601784028.64,1082441.5073561242,25501.5,-141891.52,80269083.62,15251.0,1.3099982820821165,11642
KOMPANI E HUAJ,2714589898.73,241985.1933259048,3350.5299999999997,-289311.34,51473508.35,21638.0,1.9288643251916562,11218
PERSON FIZIK,1993334065.7,772909.6803799922,94099.07,0.0,71724811.89,91126.0,35.33385032958511,2579
OJQ,1029071548.43,275964.4806731027,0.0,-666.86,120330115.96,31161.0,8.356395816572808,3729
ORTAKËRIA E PËRGJ.,1006298712.76,57532.37166314104,7327.19,0.0,5068527.0,22106.0,1.263849979989709,17491
KOMPANI SIGURIMI,357323783.54,4253854.565952381,4258365.965,2135059.72,6672760.34,420.0,5.0,84
NDËRMARRJE PUB.,105326243.82,161049.30247706422,45853.275,0.0,1273927.94,654.0,1.0,654
PËRFAQËSUES FISKAL,53456093.75,76694.53909612626,2526.13,-3856.15,1522950.93,1157.0,1.6599713055954088,697
KONSORCIUM,45822895.87,46567.983607723574,0.0,0.0,3216749.57,1357.0,1.3790650406504066,984
NDËRMARRJE SHOQ.,17749353.1,3643.882796140423,0.0,0.0,397768.1,5461.0,1.1211250256620817,4871
ORGANIZATA BUXHETORE,7196972.43,32418.79472972973,0.0,0.0,289904.49,233.0,1.0495495495495495,222
BASHKËSI FETARE,4904396.63,45835.48252336449,0.0,0.0,1389573.56,124.0,1.158878504672897,107
NDËRMARRJE NËN MENAXHIM TË AKP-SË,4871895.9799999995,6852.174374120956,1748.86,0.0,159878.87,718.0,1.009845288326301,711
SHOQËRI KOMANDITE,4292278.64,27339.354394904458,5962.02,0.0,269112.13,157.0,1.0,157
KOOPERATIVA BUJQ.,3885851.24,4969.119232736573,0.0,0.0,304241.78,915.0,1.170076726342711,782
PROJEKT,1420247.2,2857.640241448692,0.0,0.0,177762.72,856.0,1.7223340040241448,497
ORTAKËRI E KUFIZUAR,1377704.07,9308.811283783783,0.0,0.0,605917.37,148.0,1.0,148
DEGA E SHOQËRISË SË HUAJ,1004511.4299999999,3639.5341666666664,0.0,0.0,121890.0,276.0,1.0,276
SINDIKATAT,551048.08,55104.808,81110.23999999999,0.0,100579.36,10.0,1.0,10
ZYRË NDËRLIDHËSE,333463.02,4017.626746987952,0.0,0.0,304363.52,83.0,1.0,83
TJETER,209013.47,253.04294188861985,0.0,0.0,8601.0,838.0,1.0145278450363195,826
KOOPERATIVA,111421.03,428.54242307692306,0.0,0.0,53869.32,260.0,1.0,260
SHOQATË,87758.86,5484.92875,4327.09,0.0,11970.0,16.0,1.0,16
PARTI POLITIKE,52067.11,4733.373636363636,0.0,0.0,34701.32,11.0,1.0,11
ZYRA E PËRFAQËSISË NË KOSOVË,20833.0,281.52702702702703,0.0,0.0,20833.0,182.0,2.4594594594594597,74
AMBASADA,14984.849999999999,4994.95,5547.64,0.0,9437.21,3.0,1.0,3
KOMP .PUB. E KUF.,0.0,0.0,0.0,0.0,0.0,84.0,1.0,84
AGJENSION I HUAJ QEVERITAR,0.0,0.0,0.0,0.0,0.0,83.0,1.0,83
