year,month,primary_sector,municipality,registration_status,num_taxpayers,turnover_eur,invalid_reason,year_was_imputed,month_was_imputed,num_taxpayers_was_imputed,turnover_eur_was_imputed,primary_sector_was_imputed,municipality_was_imputed,registration_status_was_imputed,year_month,turnover_eur_log1p
2025.0,11.0,Industria perpunuese,FERIZAJ,INDIVIDUAL,1.0,10945.75,,False,False,False,False,False,False,False,2025-11,9.300797887536758
2024.0,1.0,Bujqesia;Pylltaria dhe Peshkimi,FERIZAJ,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2024-01,0.0
2019.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,VUSHTRRI,SH.P.K.,2.0,25928.11,,False,False,False,False,False,False,False,2019-07,10.16312155476587
2021.0,6.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,GJAKOVË,INDIVIDUAL,9.0,11257.0,,False,False,False,False,False,False,False,2021-06,9.328834266023971
2019.0,4.0,Industria perpunuese,GLLOGOC,INDIVIDUAL,1.0,4387.16,,False,False,False,False,False,False,False,2019-04,8.386665283811489
2025.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PEJË,INDIVIDUAL,3.0,55770.08,,False,False,False,False,False,False,False,2025-07,10.92901073444623
2020.0,10.0,Aktivitetet e patundshmerise,VITI,SH.P.K.,2.0,43779.66,,False,False,False,False,False,False,False,2020-10,10.686947446340106
2024.0,8.0,Ndertimtaria,GJILAN,INDIVIDUAL,3.0,0.0,,False,False,False,False,False,False,False,2024-08,0.0
2021.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,ISTOG,SH.P.K.,1.0,2436.11,,False,False,False,False,False,False,False,2021-04,7.798568190070637
2023.0,12.0,Industria perpunuese,PRIZREN,INDIVIDUAL,9.0,54718.96,,False,False,False,False,False,False,False,2023-12,10.909983821302012
2023.0,9.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,OBILIQ,SH.P.K.,2.0,2441.0,,False,False,False,False,False,False,False,2023-09,7.80057265467065
2019.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,MITROVICË VERIORE,INDIVIDUAL,1.0,1541.49,,False,False,False,False,False,False,False,2019-03,7.341153272776356
2019.0,4.0,Mungon aktiviteti,PRISHTINË,NDËRMARRJE SHOQ.,1.0,0.0,,False,False,False,False,False,False,False,2019-04,0.0
2023.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SHTIME,INDIVIDUAL,1.0,544876.47,,False,False,False,False,False,False,False,2023-11,13.208316222680224
2020.0,5.0,Industria perpunuese,GJAKOVË,NDËRMARRJE NËN MENAXHIM TË AKP-SË,1.0,0.0,,False,False,False,False,False,False,False,2020-05,0.0
2019.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,FERIZAJ,SH.P.K.,3.0,4927.74,,False,False,False,False,False,False,False,2019-12,8.502838656277783
2021.0,12.0,Ndertimtaria,SHTIME,SH.P.K.,1.0,41949.19,,False,False,False,False,False,False,False,2021-12,10.644238241086526
2023.0,5.0,Industria perpunuese,FUSHË KOSOVË,SH.P.K.,2.0,2661.95,,False,False,False,False,False,False,False,2023-05,7.887189809820916
2023.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,FERIZAJ,ORTAKËRIA E PËRGJ.,2.0,2473054.51,,False,False,False,False,False,False,False,2023-11,14.720964992672986
2021.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PODUJEVË,INDIVIDUAL,3.0,9191.17,,False,False,False,False,False,False,False,2021-05,9.12610731370048
2021.0,2.0,Industria perpunuese,PRIZREN,INDIVIDUAL,42.0,149847.03,,False,False,False,False,False,False,False,2021-02,11.91737692617858
2022.0,6.0,Akomodimi dhe sherbimi ushqimor,KLINË,SH.P.K.,2.0,14395.12,,False,False,False,False,False,False,False,2022-06,9.574714004812972
2022.0,11.0,Sherbimet administrative dhe mbeshtetese,GLLOGOC,SH.P.K.,1.0,7001.63,,False,False,False,False,False,False,False,2022-11,8.854041071760227
2020.0,11.0,Akomodimi dhe sherbimi ushqimor,PRIZREN,SH.P.K.,2.0,208982.62,,False,False,False,False,False,False,False,2020-11,12.250011154669869
2019.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,LEPOSAVIQ,SH.P.K.,1.0,6731.41,,False,False,False,False,False,False,False,2019-08,8.814688456605314
2020.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,ISTOG,SH.P.K.,1.0,0.0,,False,False,False,False,False,False,False,2020-07,0.0
