year,month,year_month,turnover_eur,num_taxpayers
2025.0,11.0,2025-11,10945.75,1.0
2024.0,1.0,2024-01,0.0,1.0
2019.0,7.0,2019-07,25928.11,2.0
2021.0,6.0,2021-06,11257.0,9.0
2019.0,4.0,2019-04,4387.16,1.0
2025.0,7.0,2025-07,55770.08,3.0
2020.0,10.0,2020-10,43779.66,2.0
2024.0,8.0,2024-08,0.0,3.0
2021.0,4.0,2021-04,2436.11,1.0
2023.0,12.0,2023-12,54718.96,9.0
2023.0,9.0,2023-09,2441.0,2.0
2019.0,3.0,2019-03,1541.49,1.0
2019.0,4.0,2019-04,0.0,1.0
2023.0,11.0,2023-11,544876.47,1.0
2020.0,5.0,2020-05,0.0,1.0
2019.0,12.0,2019-12,4927.74,3.0
2021.0,12.0,2021-12,41949.19,1.0
2023.0,5.0,2023-05,2661.95,2.0
2023.0,11.0,2023-11,2473054.51,2.0
2021.0,5.0,2021-05,9191.17,3.0
2021.0,2.0,2021-02,149847.03,42.0
2022.0,6.0,2022-06,14395.12,2.0
2022.0,11.0,2022-11,7001.63,1.0
2020.0,11.0,2020-11,208982.62,2.0
2019.0,8.0,2019-08,6731.41,1.0
2020.0,7.0,2020-07,0.0,1.0
2022.0,11.0,2022-11,9580.09,3.0
2022.0,4.0,2022-04,943779.49,14.0
2020.0,12.0,2020-12,119290.0,7.0
2022.0,6.0,2022-06,0.0,1.0
2021.0,3.0,2021-03,20590.85,182.0
2024.0,3.0,2024-03,950.0,3.0
2022.0,12.0,2022-12,70390.24,3.0
2023.0,3.0,2023-03,5432.2,6.0
2021.0,1.0,2021-01,0.0,1.0
2022.0,5.0,2022-05,0.0,1.0
2021.0,5.0,2021-05,4541.52,1.0
2019.0,5.0,2019-05,5244.05,1.0
2020.0,10.0,2020-10,131625.02,10.0
2022.0,9.0,2022-09,0.0,4.0
2025.0,3.0,2025-03,1225.0,3.0
2019.0,8.0,2019-08,7070.71,2.0
2025.0,6.0,2025-06,100.0,2.0
2020.0,12.0,2020-12,18080.0,4.0
2024.0,7.0,2024-07,51728.88,1.0
2020.0,11.0,2020-11,595277.66,8.0
2020.0,12.0,2020-12,12052.5,1.0
