year,month,municipality,turnover_eur,num_taxpayers
2025.0,11.0,FERIZAJ,10945.75,1.0
2024.0,1.0,FERIZAJ,0.0,1.0
2019.0,7.0,VUSHTRRI,25928.11,2.0
2021.0,6.0,GJAKOVË,11257.0,9.0
2019.0,4.0,GLLOGOC,4387.16,1.0
2025.0,7.0,PEJË,55770.08,3.0
2020.0,10.0,VITI,43779.66,2.0
2024.0,8.0,GJILAN,0.0,3.0
2021.0,4.0,ISTOG,2436.11,1.0
2023.0,12.0,PRIZREN,54718.96,9.0
2023.0,9.0,OBILIQ,2441.0,2.0
2019.0,3.0,MITROVICË VERIORE,1541.49,1.0
2019.0,4.0,PRISHTINË,0.0,1.0
2023.0,11.0,SHTIME,544876.47,1.0
2020.0,5.0,GJAKOVË,0.0,1.0
2019.0,12.0,FERIZAJ,4927.74,3.0
2021.0,12.0,SHTIME,41949.19,1.0
2023.0,5.0,FUSHË KOSOVË,2661.95,2.0
2023.0,11.0,FERIZAJ,2473054.51,2.0
2021.0,5.0,PODUJEVË,9191.17,3.0
2021.0,2.0,PRIZREN,149847.03,42.0
2022.0,6.0,KLINË,14395.12,2.0
2022.0,11.0,GLLOGOC,7001.63,1.0
2020.0,11.0,PRIZREN,208982.62,2.0
2019.0,8.0,LEPOSAVIQ,6731.41,1.0
2020.0,7.0,ISTOG,0.0,1.0
2022.0,11.0,KLINË,9580.09,3.0
2022.0,4.0,PRIZREN,943779.49,14.0
2020.0,12.0,PRIZREN,119290.0,7.0
2022.0,6.0,MALISHEVË,0.0,1.0
2021.0,3.0,FERIZAJ,20590.85,182.0
2024.0,3.0,SKENDERAJ,950.0,3.0
2022.0,12.0,LIPJAN,70390.24,3.0
2023.0,3.0,SHTIME,5432.2,6.0
2021.0,1.0,PRISHTINË,0.0,1.0
2022.0,5.0,MITROVICË VERIORE,0.0,1.0
2021.0,5.0,RAHOVEC,4541.52,1.0
2019.0,5.0,GJILAN,5244.05,1.0
2020.0,10.0,PRISHTINË,131625.02,10.0
2022.0,9.0,FUSHË KOSOVË,0.0,4.0
2025.0,3.0,SKENDERAJ,1225.0,3.0
2019.0,8.0,PRIZREN,7070.71,2.0
2025.0,6.0,FERIZAJ,100.0,2.0
2020.0,12.0,SHTIME,18080.0,4.0
2024.0,7.0,SKENDERAJ,51728.88,1.0
2020.0,11.0,FERIZAJ,595277.66,8.0
2020.0,12.0,SUHAREKË,12052.5,1.0
2019.0,2.0,FERIZAJ,1414.57,1.0
2019.0,3.0,FERIZAJ,395.0,1.0
2020.0,5.0,GJILAN,213660.17,10.0
2023.0,3.0,PEJË,0.0,3.0
2025.0,8.0,PRIZREN,10860.28,5.0
