year,month,primary_sector,municipality,registration_status,num_taxpayers,turnover_eur,invalid_reason,year_was_imputed,month_was_imputed,num_taxpayers_was_imputed,turnover_eur_was_imputed,primary_sector_was_imputed,municipality_was_imputed,registration_status_was_imputed,year_month,turnover_eur_log1p
2025.0,9.0,Industria perpunuese,GJILAN,INDIVIDUAL,9.0,7770.0,,False,False,False,False,False,False,False,2025-09,8.958154135209242
2020.0,3.0,Sherbimet administrative dhe mbeshtetese,PRISHTINË,INDIVIDUAL,14.0,19850.09,,False,False,False,False,False,False,False,2020-03,9.896014196446528
2019.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,MAMUSHË,SH.P.K.,1.0,14415.68,,False,False,False,False,False,False,False,2019-08,9.57614114854698
2022.0,10.0,Arsimi,PRIZREN,INDIVIDUAL,1.0,8330.82,,False,False,False,False,False,False,False,2022-10,9.027837198690952
2020.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,HANI I ELEZIT,INDIVIDUAL,2.0,1210.0,,False,False,False,False,False,False,False,2020-09,7.099201743553092
2019.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,KLINË,SH.P.K.,3.0,774.5,,False,False,False,False,False,False,False,2019-12,6.653507982616594
2021.0,12.0,Ndertimtaria,DEÇAN,SH.P.K.,1.0,6909.66,,False,False,False,False,False,False,False,2021-12,8.84082042594876
2021.0,9.0,Industria perpunuese,PRISHTINË,ORTAKËRIA E PËRGJ.,2.0,46182.66,,False,False,False,False,False,False,False,2021-09,10.740381334856751
2024.0,2.0,Ndertimtaria,PRIZREN,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2024-02,0.0
2021.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SUHAREKË,SH.P.K.,2.0,0.0,,False,False,False,False,False,False,False,2021-08,0.0
2025.0,4.0,Industria perpunuese,PRISHTINË,INDIVIDUAL,1.0,4466.06,,False,False,False,False,False,False,False,2025-04,8.404485753095358
2023.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRISHTINË,SH.P.K.,141.0,8962688.91,,False,False,False,False,False,False,False,2023-03,16.0085809530658
2019.0,9.0,Ndertimtaria,LIPJAN,INDIVIDUAL,5.0,9010.0,,False,False,False,False,False,False,False,2019-09,9.106201332235038
