year,month,registration_status,turnover_eur,num_taxpayers
2025.0,11.0,INDIVIDUAL,10945.75,1.0
2024.0,1.0,INDIVIDUAL,0.0,1.0
2019.0,7.0,SH.P.K.,25928.11,2.0
2021.0,6.0,INDIVIDUAL,11257.0,9.0
2019.0,4.0,INDIVIDUAL,4387.16,1.0
2025.0,7.0,INDIVIDUAL,55770.08,3.0
2020.0,10.0,SH.P.K.,43779.66,2.0
2024.0,8.0,INDIVIDUAL,0.0,3.0
2021.0,4.0,SH.P.K.,2436.11,1.0
2023.0,12.0,INDIVIDUAL,54718.96,9.0
2023.0,9.0,SH.P.K.,2441.0,2.0
2019.0,3.0,INDIVIDUAL,1541.49,1.0
2019.0,4.0,NDËRMARRJE SHOQ.,0.0,1.0
2023.0,11.0,INDIVIDUAL,544876.47,1.0
2020.0,5.0,NDËRMARRJE NËN MENAXHIM TË AKP-SË,0.0,1.0
2019.0,12.0,SH.P.K.,4927.74,3.0
2021.0,12.0,SH.P.K.,41949.19,1.0
2023.0,5.0,SH.P.K.,2661.95,2.0
2023.0,11.0,ORTAKËRIA E PËRGJ.,2473054.51,2.0
2021.0,5.0,INDIVIDUAL,9191.17,3.0
2021.0,2.0,INDIVIDUAL,149847.03,42.0
2022.0,6.0,SH.P.K.,14395.12,2.0
2022.0,11.0,SH.P.K.,7001.63,1.0
2020.0,11.0,SH.P.K.,208982.62,2.0
2019.0,8.0,SH.P.K.,6731.41,1.0
2020.0,7.0,SH.P.K.,0.0,1.0
2022.0,11.0,SH.P.K.,9580.09,3.0
2022.0,4.0,SH.P.K.,943779.49,14.0
2020.0,12.0,SH.P.K.,119290.0,7.0
2022.0,6.0,SH.P.K.,0.0,1.0
2021.0,3.0,INDIVIDUAL,20590.85,182.0
2024.0,3.0,INDIVIDUAL,950.0,3.0
2022.0,12.0,SH.P.K.,70390.24,3.0
2023.0,3.0,INDIVIDUAL,5432.2,6.0
2021.0,1.0,PËRFAQËSUES FISKAL,0.0,1.0
2022.0,5.0,SH.P.K.,0.0,1.0
2021.0,5.0,INDIVIDUAL,4541.52,1.0
2019.0,5.0,SH.P.K.,5244.05,1.0
2020.0,10.0,INDIVIDUAL,131625.02,10.0
2022.0,9.0,INDIVIDUAL,0.0,4.0
2025.0,3.0,INDIVIDUAL,1225.0,3.0
2019.0,8.0,INDIVIDUAL,7070.71,2.0
2025.0,6.0,INDIVIDUAL,100.0,2.0
2020.0,12.0,INDIVIDUAL,18080.0,4.0
2024.0,7.0,INDIVIDUAL,51728.88,1.0
2020.0,11.0,SH.P.K.,595277.66,8.0
2020.0,12.0,SH.P.K.,12052.5,1.0
2019.0,2.0,INDIVIDUAL,1414.57,1.0
2019.0,3.0,SH.P.K.,395.0,1.0
2020.0,5.0,SH.P.K.,213660.17,10.0
