year,month,primary_sector,turnover_eur,num_taxpayers
2025.0,11.0,Industria perpunuese,10945.75,1.0
2024.0,1.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,1.0
2019.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,25928.11,2.0
2021.0,6.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,11257.0,9.0
2019.0,4.0,Industria perpunuese,4387.16,1.0
2025.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,55770.08,3.0
2020.0,10.0,Aktivitetet e patundshmerise,43779.66,2.0
2024.0,8.0,Ndertimtaria,0.0,3.0
2021.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2436.11,1.0
2023.0,12.0,Industria perpunuese,54718.96,9.0
2023.0,9.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,2441.0,2.0
2019.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,1541.49,1.0
2019.0,4.0,Mungon aktiviteti,0.0,1.0
2023.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,544876.47,1.0
2020.0,5.0,Industria perpunuese,0.0,1.0
2019.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4927.74,3.0
2021.0,12.0,Ndertimtaria,41949.19,1.0
2023.0,5.0,Industria perpunuese,2661.95,2.0
2023.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2473054.51,2.0
2021.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,9191.17,3.0
2021.0,2.0,Industria perpunuese,149847.03,42.0
2022.0,6.0,Akomodimi dhe sherbimi ushqimor,14395.12,2.0
2022.0,11.0,Sherbimet administrative dhe mbeshtetese,7001.63,1.0
2020.0,11.0,Akomodimi dhe sherbimi ushqimor,208982.62,2.0
2019.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,6731.41,1.0
2020.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.0,1.0
2022.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,9580.09,3.0
2022.0,4.0,Industria perpunuese,943779.49,14.0
2020.0,12.0,Sherbimet administrative dhe mbeshtetese,119290.0,7.0
2022.0,6.0,"Aktivitetet profesionale, shkencore dhe teknike",0.0,1.0
2021.0,3.0,Transporti dhe magazinimi,20590.85,182.0
2024.0,3.0,"Aktivitetet profesionale, shkencore dhe teknike",950.0,3.0
2022.0,12.0,Industria perpunuese,70390.24,3.0
2023.0,3.0,"Artet, Argetimi dhe rekreacioni",5432.2,6.0
2021.0,1.0,Ndertimtaria,0.0,1.0
2022.0,5.0,Sherbimet administrative dhe mbeshtetese,0.0,1.0
2021.0,5.0,Ndertimtaria,4541.52,1.0
2019.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,5244.05,1.0
