primary_sector,PRISHTINË,GRAÇANICË,FERIZAJ,PRIZREN,PEJË,FUSHË KOSOVË,GJILAN,GJAKOVË,SUHAREKË,MITROVICË,LIPJAN,VUSHTRRI,VITI,PODUJEVË,GLLOGOC,OBILIQ,RAHOVEC,MALISHEVË,ISTOG,SKENDERAJ
Akomodimi dhe sherbimi ushqimor,0.21395183090020822,0.6436154380476155,0.3567024599242877,0.2160336677713152,0.2166661369293802,0.2706527058783398,0.23193634833361423,0.170210703051531,0.20514687362513565,0.5618438774445363,0.3361274751920879,0.2738689913625014,0.25813122024014085,0.27719340978596957,0.37004857277807773,0.22351662426332083,0.09949497052061917,0.2287737513050031,0.168114445691256,0.4004774268449634
Aktivitetet e shendetit te njeriut dhe te punes sociale,0.2296631719337993,0.08709016150888506,0.27989674517745944,0.17721088146097042,0.22025648199816583,0.9694864551169076,0.2733892795901215,0.26018311211602807,0.31199649972239124,0.27433181084197206,0.3847946383378893,0.2760991476781631,0.1988863894117756,0.29584684142908596,0.19323665148550762,0.05355907798780174,0.14454266221009734,0.32951069993314425,0.3285105790054145,0.36297277512937676
Aktivitetet e tjera sherbyese,0.030588176821564766,0.2445467667392395,0.06303076516818215,0.11092890327758188,0.25196891281638195,0.4193448657170353,0.21904589475023814,0.12593020103876126,0.22863887955086645,0.0003971319407582626,0.11187765551298563,0.14891724538471948,0.23423894133476367,0.14353065041520743,-0.08474617677147696,0.1362767023211984,0.11794302309068501,0.08812226128243521,0.01865698718034345,0.31417120691089884
Aktivitetet financiare dhe te sigurimit,0.11033919576269667,0.23470617475195366,0.07952874900733706,0.13276969996038473,0.14466427639157134,0.24003611053456644,1.091347083204434,0.09039499053885752,0.7646425318447871,-0.02308170830109041,0.594166750826,0.752339357271398,0.16025888065460428,0.0848981705071985,-0.05986467800434745,-1.0,0.11408969487705728,0.8419259171923819,0.287094307896198,-0.13042979366470828
"Aktivitetet profesionale, shkencore dhe teknike",0.14479861596054175,0.5357531585856342,0.12138699550510947,0.12243143444900358,0.1333605495939607,0.106249821615086,0.16524393556396125,0.3571529778136801,0.370005109708962,0.13768886692701932,0.34024252514621883,0.26474339745004655,0.37582472399876815,0.18051584256707368,0.24976031509242902,0.8104139512435662,0.12528755204344152,0.2611845436040269,0.1943476521677352,0.31795149973866144
Bujqesia;Pylltaria dhe Peshkimi,0.1840357033059097,0.28558401000710015,0.011231524169985777,0.09588533781565789,0.05371509889162532,0.13344069341619927,0.15108300264177021,0.2019574769747511,0.9553979582663019,0.45072358845822197,0.14454670328113198,0.14497306919613392,0.5296593755672452,0.28118529710678913,0.033717905652936864,0.4606425212563654,0.17791944836519544,0.07707534524658215,0.10233333546518801,0.6318542415622779
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",0.1599183870961588,0.0,0.7179102007649784,0.8170785535688743,0.41149072375894696,-0.011990022829264202,0.048570632548826244,0.18746107608362625,-0.03494715789078958,-0.5511244789691395,0.0,1.4995186383884014,0.9138827981767713,-1.0,-1.0,0.0,-1.0,0.1531401750749124,0.07893868672175054,0.0
Industria nxjerrese,-0.044927622158722036,0.0,0.1597485410173068,0.20730444910591114,-0.014630902917773922,1.5959378646646618,-0.06064824436580455,-0.09394823265905776,0.08488479996414612,0.03610283187100241,0.8819557248320793,0.0,0.3321681585292115,0.110758540642611,0.3213262453977821,-0.125709376237802,0.15606667007745062,-0.045505959670628204,0.4587892763418428,0.07208943193047197
Industria perpunuese,0.1662707897847188,0.3619149604930465,0.1655475718331321,0.15841603257944026,0.13829612169508235,0.19039017573764042,0.13432417640290756,0.2993603981974591,0.3892514779123819,0.21675250599804505,0.11410144103338539,0.17775770770256058,0.10335248993606688,0.1496544621292412,0.13583107056184232,0.2211542916144944,0.0641428028932101,0.13449373646160004,0.08819674930047809,0.28482067385724785
Informimi dhe komunikimi,0.15145492803398333,0.2976612861061682,0.12021698991254044,0.14944705209812112,0.12224891027573671,0.10869545395405171,0.17753252324025282,0.19239396434540693,0.21789232428134378,-0.017313023585499816,0.2423796225950335,0.09546715660277379,0.18981936277115496,0.4658665160139681,0.22957088551804328,0.4716133003129264,0.3317845585216301,0.3330213091799739,0.4522893967142318,0.18099248729743653
