algorithm,metric,phase2,phase3,delta,improved
RandomForest,Accuracy,0.5896464646464646,0.6995508982035928,0.1099044335571282,True
RandomForest,F1-Score (macro),0.4685372729063958,0.516293912411914,0.04775663950551823,True
RandomForest,Kappa,0.2556,0.41311995212072716,0.15751995212072717,True
RandomForest,Stable Recall,0.1585365853658536,0.07198748043818466,-0.08654910492766894,False
RandomForestRegressor,R²,0.0556300932756725,0.5234496359104595,0.467819542634787,True
XGBoost,Accuracy,0.625,0.6338323353293414,0.008832335329341356,True
XGBoost,F1-Score (macro),0.4341540911276991,0.5263306433659207,0.09217655223822163,True
XGBoost,Kappa,0.2433,0.35818432163751446,0.11488432163751447,True
XGBoost,Stable Recall,0.048780487804878,0.2863849765258216,0.2376044887209436,True
XGBoostRegressor,R²,-0.0237271532897083,0.5154072940082892,0.5391344472979975,True
