municipality,2020,2021,2022,2023,2024,2025
FERIZAJ,0.15481072948701968,0.8251654681587037,0.33283876392319156,0.24740331180008976,0.16994796232142176,0.07208349482667367
FUSHË KOSOVË,0.10361416418830424,0.7956549707679147,0.4694007589339653,0.2224439042376494,0.48664311673165483,0.44790154278284827
GJAKOVË,-0.019158559139152237,0.9315951436585759,0.351506161658662,0.2679826090319471,0.1429594037686378,0.28731495573241617
GJILAN,0.08754083269784699,0.7806022921953438,0.38404443775244973,0.20701146620652097,0.511504484937071,0.45923870965813707
GLLOGOC,0.09975666004298875,0.5981727333937793,0.38616512561885846,0.3430167532723993,0.26398178551263646,0.64724435817062
GRAÇANICË,0.1346972760837579,0.9651703713058566,0.563374214467723,0.2906972251506606,0.04678854264235064,1.1951312417645485
ISTOG,0.19641786683190615,0.8152991919785603,0.40904929301294424,0.46771894538540804,0.19816144104991817,0.2930835469501998
LIPJAN,0.14812406617788748,0.8458296601618721,0.4333997636398061,0.36617414314425817,0.4732691824107933,0.5067667403150592
MALISHEVË,0.11075200154795124,0.9966239556798441,0.27892601120009225,0.45291320622248377,0.4180093997930818,0.4789786756731182
MITROVICË,-0.045408871640721146,0.7352894943562577,0.3273939232222326,0.16118255169277795,0.3952902383961858,0.06674981815418593
OBILIQ,0.17259091518978012,0.6394283562014756,0.5387193815712811,0.44351016113539427,0.5176282654456303,1.0178182607964514
PEJË,0.008102122278984335,0.5691162720747819,0.2578186464145874,0.19052445343361682,0.37053490727615057,0.18730417036213945
PODUJEVË,0.1318709403113513,0.9404888455168438,0.27360699079399514,0.3238438280638169,0.26664430779619513,0.177584835793346
PRISHTINË,-0.025943311368385645,0.5295631870221331,0.2335511162686537,0.19986862576178194,0.006262471951433061,0.237712453885137
PRIZREN,-0.06316359167513298,0.6473606588882777,0.2872865562989536,0.2949944419529964,0.19788029127650272,0.05575083953466748
RAHOVEC,0.22895509619164772,0.5204427558570117,0.2767911886608603,0.324030831769697,0.4629882635374868,0.30045818447143424
SKENDERAJ,0.2994861303852988,0.8313122190044511,0.5732718399153465,0.34121856324898836,0.3371405935972673,0.24944298480368385
SUHAREKË,0.07120241949529517,0.9047056932974683,0.48563409860489576,0.4918135863812152,0.1031637840144203,0.6432339409595199
VITI,0.036276408790111965,0.9968040031703668,0.3244439294347368,0.31340515397055113,0.32139042524980926,0.675256264898536
VUSHTRRI,0.21988215824746424,0.9455390649724196,0.6107132329752649,0.489519212497208,0.2558442071230268,0.754136485588404
