primary_sector,2020,2021,2022,2023,2024,2025
Akomodimi dhe sherbimi ushqimor,-0.25855907797271194,1.9099690026812468,0.43775330313970173,0.17679216618452745,0.22816371971068436,0.6916325471676839
Aktivitetet e shendetit te njeriut dhe te punes sociale,0.1628294017825279,1.388253887813132,0.36697027994591125,0.2860756884237568,0.3007117467365478,0.24197078401724154
Aktivitetet e tjera sherbyese,-0.023537231436430196,0.805147911529225,0.37899697987585357,0.35610081973051116,0.44801118093937975,0.1527260241904436
Aktivitetet financiare dhe te sigurimit,0.1815422051272285,0.4147082417164022,0.5766017853819341,0.31546646640612,0.4811129139831742,1.1529740610504375
"Aktivitetet profesionale, shkencore dhe teknike",0.2170613088333471,0.72164568268674,0.2638091839785525,0.31739257952507255,0.26517858467273087,0.7014465619588447
Bujqesia;Pylltaria dhe Peshkimi,0.305640433550202,0.6848975786632695,0.56021693746785,0.436976295067934,0.18624846756283597,0.5163261187702168
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",0.39950696951625553,0.5283134632576549,0.37360612948006067,0.5787331029082928,0.051123617281281425,0.17624108910581615
Industria nxjerrese,0.4443302614016606,0.5382796245404585,0.44303060634116853,0.3767995364541056,0.22634658455334158,0.5026396236524616
Industria perpunuese,0.15532971804100099,0.47662457071371567,0.37976006881341734,0.240482004667727,0.05303899807085559,0.5834399304984472
Informimi dhe komunikimi,0.14946393623225493,0.5153480445815586,0.4322762123408901,0.5932556672788025,0.18882758766687727,0.19324317121346266
Ndertimtaria,0.15494523058756166,0.7290715413773249,0.3530566364129922,0.3813931471416034,0.3111683059738514,0.35004841042163737
Person Fizik,-0.19996797325633708,0.13440021947356443,-0.28445418619781215,-0.15247288121509758,0.7548929976533508,0.09454226322025362
Sherbimet administrative dhe mbeshtetese,0.3419934927343358,1.0624496018186598,0.5284093167119731,0.6555351016730057,0.3473344715377344,0.7925122904378769
Transporti dhe magazinimi,0.010814095332217537,0.7911970697112829,0.45614248817567354,0.23775519043482066,0.1640210822489468,0.44699789623884334
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.011489388229551034,0.48756260489637776,0.3515037883492108,0.18847411988046128,0.08362988240031241,0.28669511948941956
