year,month,stringency_index,cases_per_100k,vaccination_rate
2019,1,0,0,0
2019,2,0,0,0
2019,3,0,0,0
2019,4,0,0,0
2019,5,0,0,0
2019,6,0,0,0
2019,7,0,0,0
2019,8,0,0,0
2019,9,0,0,0
2019,10,0,0,0
2019,11,0,0,0
2019,12,0,0,0
2020,1,0,0,0
2020,2,11,0,0
2020,3,75,5,0
2020,4,84,15,0
2020,5,73,25,0
2020,6,47,80,0
2020,7,53,250,0
2020,8,56,180,0
2020,9,51,130,0
2020,10,56,320,0
2020,11,70,380,0
2020,12,73,130,0
2021,1,73,100,0
2021,2,70,250,0
2021,3,70,600,0
2021,4,65,850,0
2021,5,58,90,0
2021,6,47,5,1
2021,7,47,20,5
2021,8,47,220,12
2021,9,45,470,25
2021,10,38,200,35
2021,11,38,30,42
2021,12,35,30,45
2022,1,35,1200,46
2022,2,30,800,47
2022,3,22,30,48
2022,4,15,5,49
2022,5,10,20,49
2022,6,5,50,50
2022,7,0,220,50
2022,8,0,130,50
2022,9,0,70,50
2022,10,0,30,50
2022,11,0,30,51
2022,12,0,30,51
2023,1,0,5,51
2023,2,0,5,51
2023,3,0,5,51
2023,4,0,5,52
2023,5,0,5,52
2023,6,0,5,52
2023,7,0,5,52
2023,8,0,5,52
2023,9,0,5,52
2023,10,0,5,52
2023,11,0,5,52
2023,12,0,5,52
2024,1,0,0,52
2024,2,0,0,52
2024,3,0,0,52
2024,4,0,0,52
2024,5,0,0,52
2024,6,0,0,52
2024,7,0,0,52
2024,8,0,0,52
2024,9,0,0,52
2024,10,0,0,52
2024,11,0,0,52
2024,12,0,0,52
2025,1,0,0,52
2025,2,0,0,52
2025,3,0,0,52
2025,4,0,0,52
2025,5,0,0,52
2025,6,0,0,52
2025,7,0,0,52
2025,8,0,0,52
2025,9,0,0,52
2025,10,0,0,52
2025,11,0,0,52
2025,12,0,0,52
