year,month,cpi_yoy_pct,note
2019,1,2.4,ASK
2019,2,2.7,ASK
2019,3,2.8,ASK
2019,4,2.6,ASK
2019,5,2.5,ASK
2019,6,2.4,ASK
2019,7,2.8,ASK
2019,8,2.9,ASK
2019,9,3.0,ASK
2019,10,2.9,ASK
2019,11,2.8,ASK
2019,12,2.6,ASK
2020,1,2.2,ASK
2020,2,1.8,ASK
2020,3,1.0,COVID start
2020,4,-0.2,COVID lockdown
2020,5,0.0,COVID lockdown
2020,6,-0.7,COVID deflation
2020,7,-0.6,COVID deflation
2020,8,-0.4,COVID deflation
2020,9,0.0,ASK
2020,10,0.3,ASK
2020,11,0.4,ASK
2020,12,0.3,ASK
2021,1,0.7,ASK
2021,2,0.8,ASK
2021,3,1.2,ASK
2021,4,2.0,ASK
2021,5,2.5,ASK
2021,6,3.0,ASK
2021,7,3.5,ASK
2021,8,4.2,ASK
2021,9,4.8,ASK
2021,10,5.6,ASK
2021,11,6.7,ASK
2021,12,6.9,ASK
2022,1,8.0,energy shock starts
2022,2,8.7,ASK
2022,3,10.6,Ukraine war
2022,4,11.2,ASK
2022,5,12.4,ASK
2022,6,14.1,peak inflation
2022,7,14.2,peak inflation
2022,8,14.2,peak inflation
2022,9,12.8,ASK
2022,10,12.0,ASK
2022,11,11.0,ASK
2022,12,9.7,ASK
2023,1,9.0,ASK
2023,2,8.5,ASK
2023,3,6.8,ASK
2023,4,5.4,ASK
2023,5,4.8,ASK
2023,6,4.6,ASK
2023,7,4.0,ASK
2023,8,3.7,ASK
2023,9,3.5,ASK
2023,10,3.2,ASK
2023,11,3.0,ASK
2023,12,2.5,ASK
2024,1,2.3,ASK
2024,2,2.0,ASK
2024,3,1.8,ASK
2024,4,1.7,ASK
2024,5,1.4,ASK
2024,6,1.6,ASK
2024,7,1.6,ASK
2024,8,1.4,ASK
2024,9,1.5,ASK
2024,10,1.6,ASK
2024,11,1.8,ASK
2024,12,1.9,ASK
2025,1,1.8,ASK estimate
2025,2,1.6,ASK estimate
2025,3,1.5,ASK estimate
2025,4,1.4,ASK estimate
2025,5,1.5,ASK estimate
2025,6,1.6,ASK estimate
2025,7,1.5,ASK estimate
2025,8,1.5,ASK estimate
2025,9,1.4,ASK estimate
2025,10,1.5,ASK estimate
2025,11,1.5,ASK estimate
2025,12,1.5,ASK estimate
