primary_sector,mean_damage_pp,median_damage_pp,n_rows
Aktivitetet e patundshmerise,-0.1792572882603924,-0.2699013542132982,331
Aktivitetet e tjera sherbyese,-0.127119036328692,-0.2060556619474868,480
Mungon aktiviteti,-0.07198529060159684,-0.3750360947928951,188
Person Fizik,-0.053968822210762574,-0.08949588242684495,688
Arsimi,-0.015767852076857714,-0.14858339630103048,530
Aktivitetet financiare dhe te sigurimit,-0.011921257008087488,-0.12567632501073459,469
Bujqesia;Pylltaria dhe Peshkimi,0.02417135499015952,-0.16694200837754153,737
Informimi dhe komunikimi,0.024884721726936964,-0.1064822525373313,750
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.03833719219176715,-0.008557627949850065,897
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",0.045482080260029714,-0.09976244825354463,263
Transporti dhe magazinimi,0.058038170520881394,-0.09702505332316647,805
"Artet, Argetimi dhe rekreacioni",0.06837785997546854,-0.35674268518912994,483
"Aktivitetet profesionale, shkencore dhe teknike",0.07393649556436027,-0.08911658877577244,761
Industria perpunuese,0.07904936088419891,-0.0009653977835667321,876
Ndertimtaria,0.12333245936200267,-0.03137280504549199,795
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,0.15609680458728667,-0.06697465910652653,366
Industria nxjerrese,0.20003723514008703,-0.05498570024733512,620
Sherbimet administrative dhe mbeshtetese,0.2044200458946469,-0.06938156233952579,696
Akomodimi dhe sherbimi ushqimor,0.2424984442320001,-0.11539592951964428,747
Aktivitetet e shendetit te njeriut dhe te punes sociale,0.25203379371046525,0.04607757183388428,535
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,0.2922153543759391,-0.027517116176369042,522
