municipality,primary_sector,real_growth_rate_xgb
MITROVICË VERIORE,Aktivitetet e shendetit te njeriut dhe te punes sociale,2.0
PARTESH,Transporti dhe magazinimi,2.0
OBILIQ,Aktivitetet financiare dhe te sigurimit,2.0
ZUBIN POTOK,Akomodimi dhe sherbimi ushqimor,2.0
MAMUSHË,Person Fizik,2.0
RANILLUG,Akomodimi dhe sherbimi ushqimor,2.0
RANILLUG,Industria perpunuese,2.0
ZVEÇAN,Akomodimi dhe sherbimi ushqimor,1.9440664
DEÇAN,Industria nxjerrese,1.9365401
JUNIK,Bujqesia;Pylltaria dhe Peshkimi,1.9210867
